Datetime,Min,Max,Mean,Humidity,Precipitation
01-01-2017,14,25.3,19.9,82.47,0
01-02-2017,16,26,20.6,76.76,0
01-03-2017,16,27,21.1,73.12,0
01-04-2017,16,25,19.9,72.57,0
01-05-2017,15,25.6,19.6,71.88,0
01-06-2017,13,24.6,18.5,68.36,0
01-07-2017,11,25.3,17.8,70.19,0
01-08-2017,12,26.2,19.1,67.1,0
01-09-2017,13,27,20,67.08,0
01-10-2017,15,23.2,19,69.32,0
01-11-2017,15,24.5,19.3,68.48,0
01-12-2017,14,22.6,18.2,61.04,0
01-13-2017,12,22.5,16.8,58.38,0
01-14-2017,11,21.1,15.7,54.81,0
01-15-2017,10,23.2,16.3,60.9,0
01-16-2017,11,24,17.1,63.3,0
01-17-2017,12,26.2,18.5,65.98,0
01-18-2017,14,26.8,19.5,63.51,0
01-19-2017,14,27,19.5,64.69,0
01-20-2017,14,27,19.6,62.57,0
01-21-2017,13,26,19,63.68,0
01-22-2017,13,26,18.8,62.26,0
01-23-2017,13,27,19.5,64.19,0
01-24-2017,15.5,27,20.6,66.41,0
01-25-2017,15,28,21,70.3,0
01-26-2017,16,30,22.6,64.32,0
01-27-2017,18,26,21.6,76.4,0.38
01-28-2017,16,25.9,20.7,73.49,0
01-29-2017,15,24.1,19.3,67.53,0
01-30-2017,15,26,20.1,66.25,0
01-31-2017,15,28,21.3,71.28,0
02-01-2017,16,27,21.6,70.65,0
02-02-2017,15,25.3,20.3,73.7,0
02-03-2017,15,26,19.9,67.61,0
02-04-2017,15,27,21,68.08,0
02-05-2017,17,29,22.4,67.17,0
02-06-2017,16,30,22.6,62.98,0
02-07-2017,18.5,29,23.2,62.64,0
02-08-2017,17,28,21.9,59.2,0
02-09-2017,16,29,22.3,60.31,0
02-10-2017,19,29.2,23.5,68.99,0
02-11-2017,18,28.9,23.2,65.34,0
02-12-2017,18,29.6,23.3,61.83,0
02-13-2017,18,29.5,23.4,66,0
02-14-2017,19,31.2,24.7,65.74,0
02-15-2017,19,29.3,23.7,61.97,0
02-16-2017,18,29.3,23.2,59.85,0
02-17-2017,18,29.5,23.6,65.81,0
02-18-2017,19,30,24.5,69.58,0
02-19-2017,20,30,25,75.61,0
02-20-2017,23.4,31,26.5,75.79,0
02-21-2017,23,32.2,26.8,73.93,0
02-22-2017,24,32,27.1,74.3,0
02-23-2017,22,31,26.2,57.27,0.17
02-24-2017,18,30,24,46.36,0
02-25-2017,17,29,22.9,48.12,0
02-26-2017,18,31,23.9,47.86,0
02-27-2017,18,32,24.8,54.38,0
02-28-2017,20,31.1,25.3,51.18,0
03-01-2017,19,32,25.2,56.29,0
03-02-2017,20,34,26.6,62.94,0
03-03-2017,23.9,35,28,51.84,0
03-04-2017,22,30.8,26,69.23,0
03-05-2017,24,31,27.1,73.69,0
03-06-2017,24,31.2,27.2,60.43,0
03-07-2017,20,33,26.8,56.58,0
03-08-2017,20,27,23.3,83.72,34.98
03-09-2017,19,27,23,89.92,34.99
03-10-2017,21,31.4,25.2,84.21,18.87
03-11-2017,21,31,25,81.81,27.8
03-12-2017,20,29.3,24.1,69.92,0.7
03-13-2017,19,28.5,23.5,52.24,0
03-14-2017,17,30,23.4,56.26,0
03-15-2017,18,31,24.1,54.94,0
03-16-2017,18,31,24.5,52.22,0
03-17-2017,21,33,26.3,64.82,0
03-18-2017,24,34,27.9,69.39,0
03-19-2017,22,33,26.7,63.57,0.08
03-20-2017,20,26.5,22.9,77.15,0.02
03-21-2017,18,31.7,24.4,67.14,0
03-22-2017,22,33,26.6,69.91,0
03-23-2017,24,34,28.1,66.33,0
03-24-2017,25,34.8,29.3,63.61,0
03-25-2017,26,34,29.3,72.03,0
03-26-2017,26,33,28.7,74.93,0
03-27-2017,26,35,29.5,73.55,0
03-28-2017,25.9,33,29.1,76.15,0
03-29-2017,27,33.1,29.4,73.11,0
03-30-2017,26,33,29.5,74.87,0
03-31-2017,27,35,30,76.2,0
04-01-2017,26.5,34,29.8,73.83,0
04-02-2017,27,34,29.6,76.55,0
04-03-2017,27,36,30.8,64.99,0
04-04-2017,27,33,29.6,74.36,0
04-05-2017,27,33,29.4,77.63,0
04-06-2017,27,31.1,29,81.54,0
04-07-2017,27,33,29.8,78.07,0
04-08-2017,27.8,34,30.2,78.02,0.01
04-09-2017,27.9,35,30.6,75.25,0
04-10-2017,27.9,36.6,31.3,64.41,0
